year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
2024,293,11,5,39,9,9,3,1,1,0,21,0,19,6,9,9,3,37,7,3,1,5,5,8,0,2,1,6,6,1,2,2,5,1,1,1,2,0,11,2,0,9,0,3,1,1,9,0,4,3,1,0,1,1,0,5
2025,1722,220,153,112,115,110,94,93,86,78,55,74,48,54,49,41,47,5,28,31,33,28,25,22,28,26,25,19,16,21,20,19,15,19,19,18,16,18,5,14,16,7,15,12,14,14,5,14,9,9,11,12,10,10,10,5
